entity_name,entity_type,entity_variant,event_count,construction_research_v1_score,construction_research_v1_bucket,science_research_v1_score,science_research_v1_bucket
instability,failure_mode,,1,1.50,deprioritized,1.00,deprioritized
wall,system,,9,9.00,exploratory,9.33,exploratory
composite,material,,3,4.50,exploratory,3.00,stalled
impact,hazard,,1,1.00,deprioritized,1.00,deprioritized
foundation,system,,4,4.45,exploratory,3.25,stalled
panel,material,,2,2.00,stalled,2.00,stalled
beam,system,,12,12.68,exploratory,12.00,exploratory
column,system,,2,3.00,stalled,2.00,stalled
bending,test_method,,3,4.50,exploratory,3.00,stalled
lattice collapse,failure_mode,,1,1.50,deprioritized,1.00,deprioritized
collapse,failure_mode,,1,1.50,deprioritized,1.00,deprioritized
window,system,,1,1.00,deprioritized,1.00,deprioritized
thermal analysis,test_method,,1,1.50,deprioritized,1.00,deprioritized
yielding,failure_mode,,1,1.00,deprioritized,1.00,deprioritized
strength,test_method,,2,3.00,stalled,3.00,stalled
glass,material,,2,2.80,stalled,3.00,stalled
polymer,material,,1,1.00,deprioritized,1.50,deprioritized
modulus,test_method,,1,1.00,deprioritized,1.50,deprioritized
compression,test_method,,1,1.00,deprioritized,1.00,deprioritized
fiber,material,,3,4.50,exploratory,3.00,stalled
corrosion,hazard,,1,1.50,deprioritized,-2.00,deprioritized
copper,material,,1,1.00,deprioritized,1.00,deprioritized
stiffness,test_method,,1,1.50,deprioritized,-2.00,deprioritized
insulation,material,,1,1.50,deprioritized,1.00,deprioritized
