entity_name,entity_type,entity_variant,event_count
human,model,organism,0
humans,model,organism,0
indirect,peptide,,0
extract,model,unknown,0
residential,peptide,,0
],indication,condition,0
shapefilesandenvievf,peptide,,0
corrosion,hazard,,0
scaling,failure_mode,,0
service life,environment,,0
ashrae,test_method,,0
roof,system,,0
design life,environment,,0
glass,material,,0
steel,material,,0
concrete,material,,0
masonry,material,,0
timber,material,,0
wall,system,,0
brick,material,,0
insulation,material,,0
window,system,,0
leakage,failure_mode,,0
glulam,material,,0
connection,system,,0
beam,system,,0
thermal cycling,environment,,0
fracture,failure_mode,,0
cracking,failure_mode,,0
fatigue,failure_mode,,0
foundation,system,,0
membrane,material,,0
column,system,,0
yielding,failure_mode,,0
stone,material,,0
deterioration,failure_mode,,0
rh,environment,,0
anchor,system,,0
basement,system,,0
in situ,model,unknown,0
nsc,model,unknown,0
hsc,model,unknown,0
galvannealed,peptide,,0
iron,material,,0
moisture,environment,,0
rust,environment,,0
stress,test_method,,0
failure,failure_mode,,0
electrical,system,,0
temperature,environment,,0
degradation,failure_mode,,0
thermal,test_method,,0
impact,hazard,,0
truss,system,,0
humidity,environment,,0
aluminum,material,,0
copper,material,,0
load,test_method,,0
ventilation,system,,0
floor,system,,0
deformation,failure_mode,,0
strain,test_method,,0
buckling,failure_mode,,0
compression,test_method,,0
tension,test_method,,0
wood,material,,0
polymer,material,,0
fire,hazard,,0
blast,hazard,,0
plastic,material,,0
seismic,hazard,,0
panel,material,,0
sunlight,environment,,0
wind,hazard,,0
composite,material,,0
shear,test_method,,0
rain,environment,,0
creep,failure_mode,,0
bending,test_method,,0
crack,failure_mode,,0
earthquake,hazard,,0
frame,system,,0
collapse,failure_mode,,0
flood,hazard,,0
